Latitude,Longtitude,Area_Class
50.26169,-69.58193,Type B
50.08693,-68.82072,Type B
49.01349,-69.46709,Type D
48.59053,-69.30886,Type B
49.41757,-69.16528,Type B
49.52158,-69.30424,Type C
49.6301,-69.46112,Type B
49.13459,-69.91254,Type B
49.1319,-69.91529,Type C
50.78957,-69.05061,Type A
49.6301,-69.45557,Type D
50.59053,-64.71034,Type D
49.77428,-69.58194,Type B
50.44454,-68.65537,Type C
50.59322,-66.20325,Type E
51.77878,-59.23837,Type E
50.78327,-63.48862,Type D
50.1328,-67.98176,Type A
50.93735,-68.82905,Type A
52.10132,-67.6652,Type C
52.20893,-69.89025,Type C
51.85132,-59.03238,Type E
51.86481,-59.13463,Type E
50.8828,-63.28772,Type C
51.85762,-59.12153,Type C
51.78597,-58.81589,Type D
51.28058,-63.30314,Type D
50.83963,-63.24858,Type C
51.75809,-62.94915,Type E
51.79317,-61.33042,Type E
51.29137,-66.68097,Type D
51.78867,-61.71075,Type D
49.45264,-70.24308,Type D
48.78417,-70.16257,Type B
49.44544,-68.48755,Type A
52.18375,-69.81866,Type E
52.26079,-68.07599,Type A
52.2563,-67.90638,Type B
52.20624,-68.04224,Type A
51.83333,-67.55714,Type E
52.36211,-67.06271,Type E
52.2563,-68.06864,Type A
52.26799,-68.08039,Type B
52.29497,-68.23824,Type B
50.02158,-66.87047,Type B
51.29047,-62.56176,Type E
50.26619,-66.49015,Type C
48.3738,-71.36928,Type B
48.51079,-70.95927,Type B
48.61751,-71.38538,Type B
48.6247,-71.37449,Type D
48.55126,-71.47011,Type D
48.42116,-70.83198,Type B
48.69994,-71.72275,Type B
48.86661,-71.79642,Type D
48.43645,-71.55622,Type C
48.86931,-71.8442,Type B
48.85762,-72.0724,Type C
48.45893,-71.03316,Type C
48.36031,-71.2995,Type A
48.6301,-71.38673,Type D
48.95534,-72.0532,Type D
48.95624,-72.04224,Type D
48.68016,-72.41394,Type C
48.50899,-71.29532,Type C
49.29317,-73.70725,Type B
48.68915,-71.45096,Type E
48.6283,-71.55612,Type C
48.61211,-71.4864,Type C
48.59862,-71.62179,Type C
48.21163,-72.22976,Type B
48.34952,-71.29138,Type B
48.69814,-72.47275,Type D
48.33693,-72.12473,Type B
48.29137,-72.15856,Type B
48.25899,-72.20272,Type B
48.29227,-72.13693,Type C
48.6211,-71.38402,Type D
49.96163,-74.37892,Type C
48.63549,-71.54251,Type B
48.84682,-72.6325,Type D
48.52608,-71.5426,Type C
48.54407,-71.14629,Type B
50.29407,-73.87444,Type C
49.7563,-74.98608,Type B
48.42026,-71.14092,Type D
48.92206,-72.65982,Type D
48.6283,-72.56973,Type C
49.10312,-72.36859,Type D
48.44005,-71.31978,Type C
49.10672,-72.37545,Type D
49.91846,-74.3054,Type B
49.34772,-72.31263,Type E
48.5036,-72.45114,Type C
48.93735,-72.64613,Type C
49.86931,-74.37202,Type E
50.38459,-73.8941,Type B
49.43825,-74.32504,Type B
51.17566,-73.87363,Type D
52.3747,-73.12837,Type F
50.78777,-71.33049,Type C
49.381,-72.47099,Type B
49.86481,-72.88179,Type D
49.75719,-72.89579,Type A
49.67566,-71.39165,Type D
49.17566,-73.29619,Type B
49.69005,-70.65694,Type C
50.79946,-74.41524,Type D
50.83783,-74.38818,Type D
50.26259,-73.31927,Type B
50.53148,-72.79372,Type C
49.54946,-73.89587,Type C
49.59592,-73.90834,Type C
49.46703,-74.57088,Type B
49.26259,-72.05577,Type B
49.60582,-72.53476,Type A
49.381,-70.63904,Type C
49.83873,-74.05963,Type B
50.35132,-74.03964,Type B
50.1328,-72.79124,Type D
49.86031,-72.96931,Type C
49.83603,-73.0,Type C
50.03507,-74.16247,Type B
50.18016,-73.2912,Type B
50.51349,-73.91384,Type B
49.84412,-71.70816,Type E
49.95624,-74.30118,Type C
49.83513,-71.38878,Type B
49.36211,-70.99862,Type B
49.77338,-74.89996,Type B
48.44365,-70.80622,Type C
48.46793,-71.04671,Type B
49.03687,-70.62414,Type C
49.20444,-72.57232,Type A
49.28238,-71.31127,Type B
48.70444,-71.72547,Type A
50.8738,-70.24002,Type C
49.43645,-72.21543,Type C
49.04047,-71.82099,Type A
49.18196,-73.04894,Type A
50.0027,-74.24021,Type B
49.93915,-74.1513,Type B
49.77158,-74.45683,Type B
48.35402,-72.56303,Type A
49.93016,-74.20809,Type B
50.02788,-74.2472,Type B
48.71523,-72.69957,Type D
45.93196,-76.71121,Type C
45.8756,-74.73967,Type C
45.86211,-74.9115,Type C
45.91936,-77.19958,Type C
45.78957,-75.61895,Type B
46.1256,-75.5457,Type D
46.02158,-76.11875,Type C
45.95534,-75.61751,Type C
45.93825,-75.97414,Type B
45.86211,-76.04976,Type C
46.21073,-75.90237,Type C
45.85851,-74.39471,Type B
46.33513,-74.80338,Type B
46.1328,-74.78532,Type C
46.91846,-75.3719,Type C
45.76709,-76.47808,Type C
46.29047,-75.91016,Type B
45.94095,-74.73965,Type C
46.59592,-74.82025,Type B
45.93645,-76.73578,Type C
45.79047,-75.07044,Type D
45.8747,-75.24742,Type D
45.94095,-75.82945,Type C
45.85492,-75.87664,Type B
45.86931,-75.07171,Type B
46.36211,-74.91015,Type C
46.09592,-75.71239,Type B
47.3837,-77.03552,Type C
46.60672,-75.9856,Type C
46.1238,-75.72535,Type C
45.94724,-77.2293,Type C
46.43196,-74.83333,Type B
46.19904,-74.72661,Type C
45.69275,-75.80115,Type C
45.8819,-75.86628,Type C
46.53597,-75.05719,Type C
46.08693,-74.32685,Type B
46.3837,-74.90102,Type C
45.95084,-73.88304,Type B
46.3801,-74.87365,Type C
47.92746,-74.66398,Type B
45.84233,-75.80881,Type C
45.95804,-74.56134,Type C
46.10492,-74.47665,Type C
45.96433,-75.05616,Type C
45.66936,-75.98327,Type B
45.94454,-74.38175,Type B
45.92566,-74.36754,Type B
45.78327,-73.61895,Type C
46.76169,-75.88647,Type C
45.68196,-74.39221,Type C
46.86481,-75.32413,Type B
46.01079,-75.6317,Type B
45.6283,-75.71785,Type B
46.34772,-74.15233,Type C
46.35042,-77.71873,Type B
45.6238,-74.74228,Type C
47.04676,-77.32673,Type C
46.18285,-74.16017,Type B
46.35222,-75.49739,Type C
45.77788,-75.88572,Type C
46.17656,-74.90887,Type C
45.69275,-75.45623,Type B
46.01619,-73.73705,Type B
47.5027,-76.8714,Type D
46.71343,-75.30185,Type C
45.83963,-74.3101,Type C
46.03687,-73.74223,Type C
46.27518,-75.0417,Type C
46.02338,-75.5652,Type B
46.16757,-74.70715,Type B
46.381,-74.86974,Type C
46.27698,-75.03909,Type B
45.86841,-73.41408,Type D
46.6211,-74.22774,Type F
46.21163,-75.05084,Type C
46.11931,-74.53922,Type C
46.77698,-75.40353,Type B
47.11931,-76.88891,Type D
46.21343,-75.04824,Type B
46.09592,-74.97536,Type C
45.94185,-74.04712,Type B
45.94634,-74.6214,Type B
45.96253,-74.13303,Type B
45.85132,-74.21385,Type B
46.17116,-75.48961,Type C
46.3837,-74.87886,Type D
45.631,-75.95499,Type B
47.6328,-75.63998,Type B
46.03687,-76.39076,Type D
46.04946,-74.82685,Type B
45.95714,-74.16149,Type B
46.44095,-75.55984,Type B
47.70264,-74.87658,Type D
45.94275,-74.32428,Type C
46.33693,-74.53253,Type B
45.70264,-74.49871,Type B
47.86751,-74.55116,Type B
47.42656,-76.79744,Type B
46.29946,-74.80079,Type B
46.26439,-78.13935,Type C
46.20983,-76.03265,Type B
48.26169,-74.4946,Type B
46.51079,-74.73824,Type B
46.03597,-73.95336,Type B
46.04137,-73.89335,Type B
47.18825,-79.32936,Type C
48.77248,-78.30604,Type D
47.21253,-79.40343,Type C
48.09233,-77.63301,Type B
47.5009,-78.99734,Type B
48.86661,-79.24316,Type D
48.11841,-79.12086,Type C
48.17926,-77.3816,Type C
48.02878,-78.28358,Type B
48.79946,-78.78555,Type B
48.60582,-79.40307,Type D
48.58963,-79.2432,Type D
48.94634,-79.46577,Type D
48.76079,-79.04923,Type C
48.68465,-78.79247,Type C
48.7536,-79.37302,Type C
48.19814,-79.08333,Type D
47.96613,-79.15055,Type C
47.71613,-79.37389,Type B
47.52968,-79.41001,Type C
47.54676,-78.57134,Type C
47.41936,-79.24468,Type C
48.61481,-78.36906,Type C
48.78957,-79.29921,Type B
48.79676,-78.90028,Type D
48.26169,-79.20947,Type C
48.20714,-79.15047,Type D
48.20534,-76.55634,Type C
48.1229,-79.29426,Type B
47.54946,-78.57267,Type C
49.11931,-79.28936,Type D
48.79047,-79.49317,Type D
48.79227,-79.05603,Type C
48.68915,-78.96322,Type D
47.46073,-79.47074,Type B
48.61571,-79.22007,Type D
48.61211,-79.37858,Type D
48.5027,-79.13952,Type D
48.17116,-79.13026,Type C
49.16936,-79.25,Type C
48.2518,-78.88695,Type E
49.03597,-79.28395,Type C
48.20893,-78.96086,Type D
48.2545,-79.12615,Type D
48.21793,-78.95276,Type C
48.7527,-77.44953,Type C
48.01439,-78.14919,Type B
48.79317,-78.90301,Type C
48.84682,-79.22267,Type D
48.58963,-78.15443,Type B
49.02788,-79.24589,Type C
47.45174,-79.47606,Type C
48.94454,-79.70618,Type E
48.58693,-79.13132,Type B
48.29497,-79.06171,Type C
47.52878,-79.40601,Type C
48.6265,-79.42789,Type D
48.26799,-79.05631,Type C
47.71523,-79.24332,Type E
47.61481,-79.39932,Type B
48.59412,-78.73504,Type B
48.67926,-78.15305,Type B
48.0036,-77.62769,Type B
48.7545,-78.95226,Type D
49.01799,-79.37553,Type D
46.71163,-79.07153,Type B
48.18196,-78.15318,Type D
49.11121,-79.40293,Type D
48.6283,-77.9619,Type C
48.79047,-79.40302,Type C
47.5045,-78.97071,Type C
48.53148,-79.15988,Type E
48.35582,-78.13283,Type B
48.04497,-77.82123,Type B
47.95354,-78.54036,Type D
48.19365,-77.96627,Type C
48.58603,-78.1422,Type B
47.52608,-79.21404,Type C
47.44275,-79.06206,Type C
48.78327,-78.78556,Type B
48.34952,-77.3896,Type C
48.18825,-77.38699,Type C
48.19365,-77.63699,Type C
48.36031,-77.22293,Type C
48.60312,-77.81837,Type B
48.20084,-78.36944,Type B
48.10132,-77.82256,Type B
48.83963,-78.71584,Type C
48.34053,-78.13825,Type C
48.61931,-78.65306,Type B
48.53148,-78.29123,Type D
48.60132,-78.14627,Type C
48.61931,-78.22959,Type C
49.0036,-77.07237,Type C
49.02248,-76.95886,Type C
47.54227,-78.55802,Type D
49.03597,-79.29355,Type D
49.04497,-79.13236,Type C
48.36031,-78.11794,Type C
48.35941,-78.12065,Type C
48.59322,-78.48504,Type C
48.34412,-78.13961,Type C
48.3747,-77.22563,Type C
48.3774,-77.31302,Type C
48.71613,-78.87986,Type B
48.46613,-78.03586,Type B
48.7554,-77.45635,Type B
48.1283,-79.46227,Type B
48.83333,-78.90164,Type C
48.53777,-77.97012,Type C
48.18196,-77.45684,Type D
48.34053,-77.31168,Type B
48.70714,-79.21457,Type D
48.83783,-78.80054,Type B
48.21433,-77.66667,Type B
48.6319,-77.11768,Type C
48.58603,-77.47417,Type C
48.67026,-77.48366,Type E
48.84952,-77.1612,Type C
48.18465,-77.37755,Type C
48.08963,-78.14782,Type B
48.60132,-79.37043,Type C
48.86391,-79.18028,Type D
47.52338,-78.63337,Type F
47.79137,-78.39525,Type F
48.25899,-78.04416,Type B
48.20714,-78.95277,Type B
48.36031,-79.05626,Type B
46.70444,-79.1247,Type C
46.6229,-79.03619,Type D
48.95624,-79.0669,Type C
48.61931,-79.30612,Type C
48.79766,-78.89892,Type D
48.79946,-78.78691,Type C
48.6265,-79.15986,Type C
48.61751,-79.12586,Type C
48.29946,-77.06306,Type F
49.3738,-76.7919,Type E
48.36751,-78.13147,Type E
48.45264,-78.21339,Type C
48.70624,-77.86761,Type D
48.54047,-78.05752,Type C
48.42116,-77.95935,Type D
48.34772,-78.21617,Type D
48.95624,-79.44933,Type D
49.02338,-79.13924,Type C
48.94814,-79.21577,Type D
48.91846,-79.0587,Type C
48.61931,-79.15306,Type C
48.5036,-79.13409,Type D
47.28238,-79.23542,Type C
47.52518,-79.23269,Type B
47.50719,-79.15868,Type B
47.5018,-79.49734,Type C
47.51169,-79.15735,Type B
48.83963,-78.79371,Type D
48.84862,-79.20217,Type D
48.19994,-77.40452,Type E
48.09412,-77.70153,Type D
48.08873,-77.57525,Type D
48.34592,-77.30762,Type C
48.54676,-77.64086,Type B
48.69275,-77.74183,Type D
48.68915,-77.70096,Type D
48.67296,-79.14624,Type C
48.84772,-79.15163,Type D
52.29227,-77.07892,Type F
48.33783,-78.79275,Type C
47.94185,-79.28903,Type B
48.21253,-78.24595,Type B
47.95804,-79.24731,Type C
48.03597,-79.15725,Type C
47.61931,-79.38064,Type E
48.83873,-79.39207,Type B
47.7509,-79.2393,Type D
48.86301,-79.48496,Type C
47.77248,-79.29319,Type D
48.35222,-78.88013,Type B
47.76169,-79.45585,Type D
48.11481,-79.29023,Type C
46.86571,-79.22764,Type B
47.19365,-78.62961,Type B
48.20983,-79.15317,Type C
48.02698,-79.28627,Type D
47.69724,-79.24065,Type B
48.53867,-77.64629,Type B
48.45534,-77.63683,Type B
48.34592,-79.04003,Type C
49.27518,-79.39599,Type B
48.42566,-78.97289,Type B
48.76349,-79.47953,Type C
49.76619,-77.65274,Type B
49.70983,-77.78744,Type C
48.95983,-79.45617,Type B
48.45174,-78.95932,Type B
48.84862,-79.47403,Type B
48.30036,-76.97296,Type B
48.36571,-78.81303,Type B
48.58603,-77.47281,Type B
48.19634,-79.08064,Type E
49.21343,-78.04203,Type B
51.35582,-77.7428,Type B
52.17026,-77.78934,Type F
48.08423,-79.22577,Type C
48.6229,-78.55612,Type C
51.34233,-78.72121,Type E
51.36121,-77.96399,Type E
51.35762,-77.78869,Type F
50.68645,-77.66099,Type E
48.5063,-78.65716,Type C
48.67476,-78.23638,Type C
48.61661,-78.38402,Type C
48.51259,-77.72149,Type B
48.69275,-77.71458,Type C
48.54946,-77.5385,Type B
48.85132,-79.403,Type B
48.44185,-78.90989,Type B
48.36481,-78.82657,Type C
51.03597,-78.64521,Type E
48.18016,-77.88699,Type B
48.00719,-79.16667,Type B
47.60672,-79.48666,Type B
48.85582,-79.36883,Type B
49.09682,-75.5696,Type B
49.21433,-75.38638,Type B
51.28148,-76.72124,Type F
49.25899,-76.15978,Type B
47.77428,-78.55523,Type C
49.10582,-75.89331,Type B
51.95264,-77.49124,Type E
51.54047,-77.45662,Type E
51.46073,-77.40656,Type E
48.67836,-77.4891,Type B
47.33963,-78.74204,Type D
49.1301,-75.38918,Type B
51.20444,-77.48852,Type E
49.10132,-75.57372,Type D
47.34143,-79.38083,Type C
48.36751,-78.72022,Type B
49.1265,-75.46564,Type B
50.86031,-78.32763,Type D
48.33423,-76.99729,Type B
47.92026,-77.24463,Type C
49.67296,-75.98054,Type A
48.21343,-76.74055,Type B
48.77428,-79.05468,Type B
49.33603,-79.28503,Type B
48.6211,-79.03572,Type B
48.53327,-79.22963,Type C
48.43285,-77.71476,Type B
49.36481,-76.54605,Type A
48.44365,-79.07655,Type B
48.34412,-77.20129,Type B
48.6328,-79.04659,Type C
48.54407,-79.31567,Type B
48.71073,-77.81698,Type B
52.08783,-77.22951,Type B
48.60672,-77.48232,Type B
48.61211,-79.38946,Type B
49.01889,-66.39747,Type B
47.56835,-68.996,Type C
48.95983,-65.47398,Type B
48.8792,-64.37974,Type A
47.55486,-69.12136,Type C
47.69095,-69.06196,Type B
47.631,-69.13064,Type C
48.33274,-68.85579,Type C
47.52068,-69.12139,Type B
47.97872,-66.96373,Type B
47.06115,-69.96172,Type B
48.11121,-67.87761,Type B
48.46163,-68.3252,Type A
48.6283,-67.6449,Type A
47.1211,-70.06483,Type B
48.86931,-65.27454,Type A
48.34233,-64.85984,Type B
48.72422,-67.39485,Type C
46.20714,-71.77226,Type B
46.32195,-71.89844,Type A
45.3783,-71.97055,Type C
45.53867,-71.79995,Type B
45.80216,-71.6628,Type C
45.40438,-72.00136,Type B
45.33873,-71.82949,Type B
45.53058,-71.63329,Type B
45.59502,-71.9141,Type B
45.93555,-71.98707,Type B
45.82644,-71.91667,Type A
45.53327,-71.632,Type C
45.55036,-71.61658,Type B
46.71883,-71.27693,Type B
45.3756,-70.95647,Type B
45.70893,-70.76508,Type B
45.44724,-71.95513,Type B
45.44724,-71.95257,Type B
45.95534,-70.44826,Type B
45.94544,-72.70603,Type C
46.20534,-70.4974,Type B
45.95264,-72.7099,Type B
45.84053,-71.42255,Type B
45.93735,-70.45862,Type B
45.94814,-72.27772,Type B
45.79317,-72.41022,Type B
45.79047,-72.40635,Type C
45.54047,-73.14869,Type C
46.90168,-71.78463,Type B
46.59502,-72.60385,Type B
47.35672,-72.77359,Type B
47.58004,-70.538,Type B
48.28507,-70.8009,Type B
46.8783,-71.74737,Type B
47.10941,-72.26066,Type C
47.09772,-72.60986,Type A
46.68555,-73.49345,Type B
48.11211,-70.87087,Type B
47.65168,-73.10259,Type B
48.72422,-74.88531,Type B
47.15708,-72.28043,Type C
47.91667,-74.10226,Type B
48.30216,-70.95268,Type B
48.09053,-69.79429,Type B
48.03327,-69.81182,Type C
47.75899,-69.95452,Type B
48.07374,-69.7943,Type A
48.07644,-69.7943,Type B
48.08094,-69.7916,Type B
48.08004,-69.7916,Type B
48.15708,-69.79424,Type A
48.06115,-69.80104,Type A
46.68825,-72.74607,Type B
46.4994,-73.72648,Type B
46.97332,-71.54248,Type C
46.26619,-73.34382,Type B
46.89269,-71.93025,Type C
46.30036,-73.10028,Type A
49.08094,-68.4849,Type B
50.65888,-68.8305,Type C
50.29317,-66.20636,Type B
50.21703,-66.30382,Type D
51.45174,-63.7298,Type D
49.35402,-68.30434,Type B
49.29946,-68.56954,Type B
50.8774,-64.19441,Type D
49.33603,-68.29331,Type B
49.73591,-68.57638,Type B
52.03507,-69.22953,Type C
52.31835,-68.17203,Type C
51.09772,-59.08647,Type D
52.15798,-69.20749,Type D
52.10761,-69.0028,Type D
50.52878,-61.5607,Type C
50.0045,-67.93284,Type E
48.92836,-68.84686,Type B
50.23502,-66.28834,Type B
51.95983,-66.44162,Type D
48.72063,-69.46319,Type A
50.02608,-67.81374,Type B
50.26619,-66.27706,Type A
48.68735,-69.36626,Type C
48.69544,-69.36625,Type C
49.69544,-67.18605,Type E
49.70534,-67.1902,Type C
49.10761,-72.59111,Type B
48.36211,-71.55085,Type B
48.38729,-71.56167,Type B
48.92116,-72.34687,Type C
48.45714,-71.17135,Type B
48.63549,-71.19557,Type B
48.63729,-71.38128,Type D
48.48771,-71.23372,Type D
48.92206,-71.80733,Type C
48.27158,-72.06442,Type D
48.77428,-71.80058,Type B
48.66936,-71.35266,Type C
48.57195,-71.13405,Type B
48.36841,-71.16261,Type C
48.53867,-71.46333,Type B
48.46433,-71.17405,Type C
48.30036,-71.13422,Type B
48.55756,-71.53034,Type C
48.66936,-71.50163,Type B
51.11211,-70.27747,Type C
50.09233,-73.14424,Type D
48.69275,-71.58061,Type B
50.24041,-72.02146,Type D
49.31835,-71.17274,Type C
48.36121,-72.10847,Type A
50.59053,-73.09159,Type D
48.32195,-71.30764,Type B
50.53777,-73.63978,Type B
48.5054,-71.0399,Type C
48.40528,-72.65312,Type B
46.53597,-76.04542,Type A
46.27518,-74.70706,Type D
46.40168,-75.87885,Type C
46.17116,-74.62901,Type C
46.14719,-74.62643,Type C
46.1337,-76.07555,Type B
46.82105,-75.21977,Type C
46.86211,-75.31229,Type C
46.41427,-74.88536,Type C
45.82554,-75.76235,Type B
45.66936,-74.57947,Type C
45.97153,-75.54581,Type D
46.68285,-75.84981,Type D
46.89089,-75.34429,Type C
46.49671,-74.86441,Type C
46.14449,-74.62513,Type C
46.14539,-74.62124,Type C
46.872,-75.28071,Type C
46.26169,-76.00789,Type D
45.65258,-74.74228,Type B
45.8738,-74.09433,Type B
46.11391,-75.55868,Type C
45.56115,-75.53324,Type B
45.74491,-76.18557,Type B
45.61121,-75.223,Type B
46.20174,-75.96232,Type B
46.53327,-74.83692,Type B
45.66847,-74.78314,Type C
46.74671,-75.36417,Type D
46.73861,-75.33662,Type D
45.6328,-76.0985,Type B
45.69275,-76.01252,Type C
45.90708,-74.72157,Type D
45.81385,-74.6357,Type B
45.66337,-74.62163,Type B
46.13729,-74.51714,Type B
46.18285,-75.95843,Type B
46.34592,-75.91276,Type C
46.36571,-75.44266,Type D
46.1337,-74.72664,Type B
46.11481,-74.52755,Type B
46.54317,-74.88921,Type B
46.56115,-75.64312,Type B
46.05666,-76.14852,Type B
45.79587,-74.12152,Type A
46.16157,-75.51452,Type C
46.06115,-76.01075,Type C
46.01619,-75.91278,Type C
46.98861,-76.06883,Type C
48.07195,-74.7352,Type A
48.26889,-74.49189,Type B
47.8738,-76.3025,Type C
47.631,-75.71797,Type B
45.7545,-74.12542,Type C
47.08004,-76.55296,Type B
45.90708,-76.14986,Type D
45.92836,-76.1421,Type B
46.19814,-75.75668,Type D
46.01079,-74.47022,Type D
47.5045,-79.18743,Type C
48.81025,-78.81421,Type D
48.20893,-77.37078,Type B
48.75,-78.75,Type D
48.64449,-77.47414,Type C
48.24041,-76.76177,Type B
48.3765,-78.05084,Type B
48.2554,-77.9973,Type C
47.16607,-79.36772,Type D
48.73771,-79.09576,Type D
48.94095,-79.50803,Type D
48.76709,-78.49318,Type B
48.19994,-79.02936,Type B
47.94544,-79.23926,Type C
48.07195,-79.18271,Type C
48.2518,-76.31983,Type C
48.2518,-76.14776,Type D
48.22063,-79.27934,Type B
48.16936,-79.22842,Type C
49.27158,-78.05025,Type C
49.02158,-78.10358,Type D
48.18735,-77.44604,Type D
48.29497,-78.55224,Type B
48.10761,-79.14512,Type D
48.20534,-78.93523,Type C
49.58094,-75.68065,Type E
48.64539,-77.92378,Type C
48.51439,-78.01817,Type C
48.60761,-78.4456,Type B
47.55936,-78.19403,Type B
49.30036,-79.23483,Type C
48.08004,-77.49192,Type C
48.22872,-77.95275,Type C
53.7494,-78.73023,Type D
48.20174,-78.91769,Type B
48.67656,-78.32516,Type D
53.78597,-77.42693,Type B
48.89988,-78.70622,Type C
48.82644,-78.80055,Type C
52.71343,-78.10729,Type F
48.76439,-79.16257,Type C
48.07195,-78.82257,Type B
48.35402,-79.06439,Type C
48.86211,-77.65163,Type C
46.77878,-78.87858,Type B
53.77068,-77.51029,Type C
48.98502,-78.87281,Type B
52.01439,-76.69155,Type B
48.10222,-78.9394,Type B
53.73861,-76.03468,Type B
54.27788,-79.122,Type E
47.90528,-79.39923,Type B
48.15978,-79.1424,Type A
48.22063,-78.10323,Type A
48.06205,-79.41926,Type C
53.67116,-78.40149,Type D
53.73142,-77.86802,Type C
53.77878,-77.47565,Type D
53.79227,-77.46955,Type G
53.38729,-76.96683,Type G
50.42836,-77.47741,Type C
48.97782,-79.37008,Type D
52.80036,-77.32143,Type B
49.03867,-77.96022,Type A
53.35402,-77.54868,Type B
